Popularity,Stie,Relate 1,Relate 2,Relate 3,Relate 4,Relate 5,Relate 6,Relate 7,Relate 8,Relate 9,Relate 10
1,天安门广场,景山公园,天安门城楼,太和殿,毛主席纪念堂,午门,王府井步行街,四季民福烤鸭店（故宫店）,海碗居(王府井店),王府井天主教堂,中国国家博物馆
2,故宫,前门大街,北海公园,中国国家博物馆,天坛,南锣鼓巷,毛主席纪念堂,人民英雄纪念碑,汇友湘菜,王府井小吃街,北京全聚德(王府井店)
3,南锣鼓巷,北海公园,什刹海,烟袋斜街,恭王府,王府井小吃街,后海公园,银锭桥,鼓楼,牛街,簋街小吃
4,颐和园,清华大学,北京大学,圆明园,国家游泳中心,四季民福烤鸭店（灯市口店）,国家体育场,中央广播电视塔,北京动物园,玲珑塔,香山公园
5,圆明园,北京大学,清华大学,颐和园,四季民福烤鸭店（灯市口店）,国家体育场,昆明湖,香山公园,北京动物园,中央广播电视塔,三里屯
6,天坛,北京全聚德(王府井店),人民英雄纪念碑,国家大剧院,西单商业街,长安街,簋街小吃,王府井小吃街,庆丰包子铺(西三旗店),人民大会堂,中央电视台
7,什刹海,后海公园,文宇奶酪店(南锣鼓巷店),北海公园,南锣鼓巷,鼓楼,烟袋斜街,恭王府,姚记炒肝店（鼓楼店）,钟楼,一朵一果(南锣鼓巷店)
8,国家体育场,玲珑塔,北京动物园,奥林匹克公园,雍和宫,四季民福烤鸭店（灯市口店）,居庸关长城,中央广播电视塔,奥林匹克森林公园,柏林寺,香山公园
9,景山公园,天安门广场,天安门城楼,太和殿,毛主席纪念堂,午门,王府井步行街,四季民福烤鸭店（故宫店）,海碗居(王府井店),中国国家博物馆,王府井天主教堂
10,王府井步行街,毛主席纪念堂,中国国家博物馆,四季民福烤鸭店（故宫店）,王府井小吃街,人民大会堂,国家大剧院,角楼,海碗居(王府井店),簋街小吃,侨福芳草地购物中心
11,恭王府,烟袋斜街,鼓楼,北京欢乐谷,文宇奶酪店(南锣鼓巷店),银锭桥,姚记炒肝店（鼓楼店）,世贸天阶,中国美术馆,庆丰包子铺(西三旗店),簋街小吃
12,八达岭长城,东来顺(前门大街店),北京动物园,798艺术区,奥林匹克公园,雍和宫,慕田峪长城,文宇奶酪店(南锣鼓巷店),中央广播电视塔,三里屯,正阳门
13,前门大街,人民英雄纪念碑,天坛,北京全聚德(王府井店),中国国家博物馆,国家大剧院,王府井小吃街,西单商业街,汇友湘菜,长安街,鲜鱼口老字号美食街
14,北海公园,南锣鼓巷,什刹海,王府井小吃街,后海公园,什刹海酒吧街,人民英雄纪念碑,慕田峪长城,798艺术区,姚记炒肝店（鼓楼店）,簋街小吃
15,清华大学,北京大学,颐和园,中央广播电视塔,四季民福烤鸭店（灯市口店）,北京动物园,香山公园,三里屯,国家体育场,国家游泳中心,玲珑塔
16,国家游泳中心,八达岭长城,北京动物园,中央广播电视塔,东来顺(前门大街店),奥林匹克公园,玲珑塔,雍和宫,三里屯,小吊梨汤（新奥店）,北京植物园
17,烟袋斜街,恭王府,鼓楼,后海公园,银锭桥,文宇奶酪店(南锣鼓巷店),世贸天阶,姚记炒肝店（鼓楼店）,北京欢乐谷,王府井,中国美术馆
18,北京大学,清华大学,四季民福烤鸭店（灯市口店）,昆明湖,北京动物园,香山公园,中央广播电视塔,三里屯,首都博物馆,国家体育场,柏林寺
19,798艺术区,三里屯,慕田峪长城,护国寺小吃店（护国寺总店）,奥林匹克公园,东来顺(前门大街店),什刹海酒吧街,奥林匹克森林公园,雍和宫,明十三陵,孔庙
20,中国国家博物馆,毛主席纪念堂,王府井步行街,王府井小吃街,前门大街,天坛,国家大剧院,北京全聚德(王府井店),人民英雄纪念碑,长安街,侨福芳草地购物中心
21,雍和宫,奥林匹克公园,798艺术区,三里屯,东来顺(前门大街店),文宇奶酪店(南锣鼓巷店),后海公园,护国寺小吃店（护国寺总店）,奥林匹克森林公园,中央广播电视塔,国子监
22,后海公园,文宇奶酪店(南锣鼓巷店),鼓楼,护国寺小吃店（护国寺总店）,雍和宫,奥林匹克公园,798艺术区,慕田峪长城,姚记炒肝店（鼓楼店）,奥林匹克森林公园,孔庙
23,天安门城楼,太和殿,毛主席纪念堂,王府井步行街,午门,四季民福烤鸭店（故宫店）,海碗居(王府井店),天安门广场,中国国家博物馆,景山公园,王府井天主教堂
24,三里屯,什刹海酒吧街,798艺术区,中央广播电视塔,护国寺小吃店（护国寺总店）,慕田峪长城,香山公园,雍和宫,奥林匹克公园,孔庙,奥林匹克森林公园
25,毛主席纪念堂,王府井步行街,中国国家博物馆,太和殿,四季民福烤鸭店（故宫店）,王府井小吃街,国家大剧院,侨福芳草地购物中心,午门,人民大会堂,海碗居(王府井店)
26,大栅栏商业街,国子监,国家奥林匹克体育中心,正阳门,定陵,护国寺小吃店(地安门店),北京全聚德,五道营胡同,首都博物馆,世贸天阶,人民大会堂
27,人民大会堂,簋街小吃,角楼,庆丰包子铺(西三旗店),国家大剧院,世贸天阶,姚记炒肝店（鼓楼店）,中央电视台,鲜鱼口老字号美食街,北京全聚德,西单商业街
28,西单商业街,北京全聚德(王府井店),人民英雄纪念碑,国家大剧院,庆丰包子铺(西三旗店),姚记炒肝店（鼓楼店）,人民大会堂,簋街小吃,世贸天阶,鲜鱼口老字号美食街,正阳门
29,世贸天阶,鲜鱼口老字号美食街,五道营胡同,姚记炒肝店（鼓楼店）,簋街小吃,庆丰包子铺(西三旗店),中央电视台,慕田峪长城,角楼,文宇奶酪店(南锣鼓巷店),人民大会堂
30,明十三陵,慕田峪长城,奥林匹克公园,798艺术区,五道营胡同,世贸天阶,奥林匹克森林公园,东来顺(前门大街店),三里屯,姚记炒肝店（鼓楼店）,孔庙